kanji	count	freq	freq_cum	jouyou	jouyou_pos
罫	2	8.84578e-08	0.999979	0	0
置	14678	0.000649192	0.709564	4	489
罰	2485	0.000109909	0.950757	7	1310
署	7993	0.000353521	0.832892	6	866
罵	213	9.42075e-06	0.996958	7	1946
罷	37	1.63647e-06	0.999539	7	2087
罹	1	4.42289e-08	0.999999	0	0
羅	2081	9.20403e-05	0.959432	7	1355
羊	676	2.98987e-05	0.988805	3	440
羌	4	1.76916e-07	0.999959	0	0
美	79716	0.00352575	0.268399	3	245
羚	4	1.76916e-07	0.999962	0	0
羞	23	1.01726e-06	0.999724	7	2104
群	1291	5.70995e-05	0.97679	5	812
羨	739	3.26851e-05	0.987494	7	1659
義	13333	0.000589704	0.730576	5	673
羯	6	2.65373e-07	0.99994	0	0
羹	185	8.18234e-06	0.997394	0	0
羽	7475	0.000330611	0.83871	2	211
翁	114	5.04209e-06	0.998371	7	2020
翆	2	8.84578e-08	0.999978	0	0
翌	1345	5.94879e-05	0.975335	6	975
習	8042	0.000355689	0.831829	3	363
翔	6893	0.00030487	0.848869	0	0
翠	456	2.01684e-05	0.992963	0	0
翡	9	3.9806e-07	0.999899	0	0
翰	16	7.07662e-07	0.999816	0	0
翳	1	4.42289e-08	1.0	0	0
翻	538	2.37951e-05	0.991223	7	1736
翼	1102	4.87402e-05	0.981088	7	1559
耀	119	5.26324e-06	0.998279	0	0
老	5180	0.000229106	0.888793	4	561
考	39322	0.00173917	0.46026	2	122
耄	8	3.53831e-07	0.999914	0	0
者	85100	0.00376388	0.253984	3	243
耆	8	3.53831e-07	0.999915	0	0
而	17	7.51891e-07	0.999803	0	0
耐	1932	8.54502e-05	0.962094	7	1368
耕	1311	5.79841e-05	0.976214	5	810
耗	116	5.13055e-06	0.998305	7	2016
耘	2	8.84578e-08	0.999982	0	0
耳	3853	0.000170414	0.919154	1	76
耶	1330	5.88244e-05	0.97569	0	0
耽	1	4.42289e-08	0.999989	0	0
聊	6	2.65373e-07	0.999935	0	0
聖	2579	0.000114066	0.948966	6	949
聘	17	7.51891e-07	0.999796	0	0
聚	52	2.2999e-06	0.99931	0	0
聞	68669	0.00303715	0.297977	2	101
聟	1	4.42289e-08	0.99999	0	0
聡	2234	9.88073e-05	0.956772	0	0
聲	2	8.84578e-08	0.999981	0	0
聴	5002	0.000221233	0.892837	7	1156
職	14041	0.000621018	0.719679	5	668
肆	1	4.42289e-08	0.999991	0	0
肇	310	1.3711e-05	0.995449	0	0
肉	6026	0.000266523	0.871734	2	220
肋	151	6.67856e-06	0.997814	0	0
肌	1350	5.9709e-05	0.975276	7	1479
肖	219	9.68613e-06	0.996863	7	1941
肘	250	1.10572e-05	0.99643	7	1922
肚	7	3.09602e-07	0.999922	0	0
肛	53	2.34413e-06	0.999287	0	0
肝	2941	0.000130077	0.941327	7	1271
股	690	3.05179e-05	0.988535	7	1677
肢	589	2.60508e-05	0.990381	7	1719
肥	553	2.44586e-05	0.990885	5	819
肩	2647	0.000117074	0.947116	7	1296
肪	212	9.37652e-06	0.996976	7	1947
肯	120	5.30747e-06	0.998268	7	2012
肱	1	4.42289e-08	0.999995	0	0
育	13498	0.000597002	0.728805	3	334
肴	54	2.38836e-06	0.999268	0	0
肺	1877	8.30176e-05	0.963863	6	959
胃	1546	6.83779e-05	0.971178	4	628
胆	986	4.36097e-05	0.983342	7	1592
背	5824	0.000257589	0.876432	6	887
胎	451	1.99472e-05	0.993063	7	1785
胚	20	8.84578e-07	0.999759	0	0
胛	1	4.42289e-08	0.999995	0	0
胞	762	3.37024e-05	0.986995	7	1652
胡	538	2.37951e-05	0.991247	0	0
胤	63	2.78642e-06	0.999142	0	0
胥	1	4.42289e-08	0.999991	0	0
胱	63	2.78642e-06	0.999133	0	0
胴	186	8.22657e-06	0.997337	7	1971
胸	5173	0.000228796	0.889022	6	897
能	21388	0.000945967	0.632427	5	656
脂	595	2.63162e-05	0.990198	7	1712
脅	4107	0.000181648	0.913737	7	1196
脆	15	6.63433e-07	0.999828	0	0
脇	2541	0.000112386	0.949758	7	1304
脈	3385	0.000149715	0.930625	4	596
脊	141	6.23627e-06	0.997963	7	2000
脘	1	4.42289e-08	0.999992	0	0
脚	1918	8.4831e-05	0.962775	7	1374
脛	21	9.28807e-07	0.999747	0	0
脩	45	1.9903e-06	0.999397	0	0
脱	4512	0.000199561	0.904198	7	1175
脳	3941	0.000174306	0.916399	6	916
脹	9	3.9806e-07	0.999895	0	0
脾	122	5.39592e-06	0.998247	0	0
腋	9	3.9806e-07	0.999892	0	0
腎	429	1.89742e-05	0.993374	7	1796
腐	2351	0.000103982	0.953952	7	1327
腑	211	9.3323e-06	0.997033	0	0
腓	11	4.86518e-07	0.999879	0	0
腔	470	2.07876e-05	0.992718	0	0
腕	5016	0.000221852	0.892394	7	1154
腥	1	4.42289e-08	0.999994	0	0
腫	2242	9.91612e-05	0.956376	7	1340
腰	2343	0.000103628	0.954056	7	1328
腱	122	5.39592e-06	0.998241	0	0
腸	1137	5.02882e-05	0.979998	4	630
腹	9433	0.000417211	0.806129	6	856
腺	192	8.49195e-06	0.997246	7	1964
腿	180	7.9612e-06	0.997467	0	0
膀	66	2.91911e-06	0.999073	0	0
膏	90	3.9806e-06	0.998721	0	0
膚	476	2.1053e-05	0.992614	7	1773
膜	1059	4.68384e-05	0.981755	7	1567
膝	405	1.79127e-05	0.993707	7	1808
膠	39	1.72493e-06	0.999497	0	0
膣	11	4.86518e-07	0.99987	0	0
膨	693	3.06506e-05	0.988474	7	1675
膳	725	3.20659e-05	0.987786	7	1664
膵	365	1.61435e-05	0.994371	0	0
膺	2	8.84578e-08	0.999987	0	0
膻	1	4.42289e-08	0.999992	0	0
膾	1	4.42289e-08	0.99999	0	0
膿	163	7.20931e-06	0.997697	0	0
臀	23	1.01726e-06	0.999722	0	0
臂	3	1.32687e-07	0.999969	0	0
臆	616	2.7245e-05	0.98977	7	1705
臈	46	2.03453e-06	0.999389	0	0
臍	92	4.06906e-06	0.99868	0	0
臓	5408	0.00023919	0.882695	6	892
臚	3	1.32687e-07	0.999973	0	0
臣	4853	0.000214643	0.896094	4	567
臥	72	3.18448e-06	0.998994	0	0
臨	1951	8.62906e-05	0.961751	6	956
自	91657	0.00405389	0.25022	2	94
臭	2454	0.000108538	0.951301	7	1314
至	3621	0.000160153	0.924595	6	922
致	10121	0.000447641	0.793154	7	1070
臺	29	1.28264e-06	0.99965	0	0
臼	305	1.34898e-05	0.995517	7	1877
舅	88	3.89214e-06	0.998756	0	0
與	48	2.12299e-06	0.999358	0	0
興	6695	0.000296112	0.854589	5	727
舊	1	4.42289e-08	0.999999	0	0
舌	1811	8.00985e-05	0.965086	5	802
舎	2248	9.94265e-05	0.95578	5	787
舐	109	4.82095e-06	0.99843	0	0
舗	964	4.26366e-05	0.983557	7	1596
舘	97	4.2902e-06	0.998643	0	0
舛	3	1.32687e-07	0.999971	0	0
舜	46	2.03453e-06	0.999381	0	0
舞	8034	0.000355335	0.832184	7	1092
舟	492	2.17606e-05	0.992293	7	1764
舩	1	4.42289e-08	0.999997	0	0
航	3062	0.000135429	0.938017	4	606
舫	4	1.76916e-07	0.999953	0	0
般	1539	6.80683e-05	0.971246	7	1436
舳	5	2.21144e-07	0.999947	0	0
舵	112	4.95364e-06	0.998386	0	0
舶	74	3.27294e-06	0.998965	7	2051
舷	34	1.50378e-06	0.999572	7	2091
船	5825	0.000257633	0.876175	2	222
艀	1	4.42289e-08	0.999992	0	0
艇	81	3.58254e-06	0.99883	7	2046
艘	21	9.28807e-07	0.99975	0	0
艤	1	4.42289e-08	0.999994	0	0
艦	700	3.09602e-05	0.988289	7	1673
艪	3	1.32687e-07	0.999975	0	0
艫	4	1.76916e-07	0.999964	0	0
艮	5	2.21144e-07	0.999946	0	0
良	17601	0.000778473	0.669805	4	480
艱	6	2.65373e-07	0.999936	0	0
色	13826	0.000611509	0.722751	2	175
艶	153	6.76702e-06	0.99778	7	1989
